2022-06-27 11:26:24 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 14:04:28 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:04:29 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:04:53 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:04:55 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:04:55 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:04:56 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:05:01 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:05:33 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:05:35 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:05:42 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:07:29 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:08:02 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:08:02 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-27 14:08:02 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 14:08:02 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 14:08:02 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-27 14:08:07 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 14:08:51 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 14:09:10 | 127.0.0.1 | POST | 200 - - | /users/Login 
2022-06-27 14:10:38 | 127.0.0.1 | POST | 200 - - | /users/Login 
2022-06-27 14:12:36 | 127.0.0.1 | POST | 200 - - | /users/Login 
2022-06-27 14:12:39 | 127.0.0.1 | POST | 200 - - | /users/Login 
2022-06-27 14:13:38 | 127.0.0.1 | POST | 200 - - | /users/Login 
2022-06-27 14:14:42 | 127.0.0.1 | GET | 404 - - | /swagger 
2022-06-27 14:14:44 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:14:44 | 127.0.0.1 | GET | 200 - - | swagger-ui.css 
2022-06-27 14:14:44 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 14:14:44 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 14:14:44 | 127.0.0.1 | GET | 200 - - | swagger-ui-bundle.js 
2022-06-27 14:14:44 | 127.0.0.1 | GET | 200 - - | swagger-ui-standalone-preset.js 
2022-06-27 14:14:44 | 127.0.0.1 | GET | 200 - - | doc.json 
2022-06-27 14:14:50 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 14:14:56 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 14:15:29 | 127.0.0.1 | GET | 200 - - | /intents/listIntent 
2022-06-27 14:16:10 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:16:32 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:18:25 | 127.0.0.1 | GET | 200 - - | index.html 
2022-06-27 14:18:28 | 127.0.0.1 | GET | 200 - - | index.html 
